iter	Passed	Remaining
430	2464	394
431	2468	388
432	2473	382
433	2480	377
434	2484	371
435	2488	365
436	2492	359
437	2496	353
438	2500	347
439	2504	341
440	2509	335
441	2513	329
442	2517	323
443	2521	318
444	2526	312
445	2530	306
446	2534	300
447	2538	294
448	2543	288
449	2547	283
450	2551	277
451	2556	271
452	2560	265
453	2564	259
454	2568	254
455	2572	248
456	2577	242
457	2581	236
458	2584	230
459	2589	225
460	2630	222
461	2637	216
462	2645	211
463	2651	205
464	2659	200
465	2664	194
466	2669	188
467	2674	182
468	2677	176
469	2680	171
470	2684	165
471	2688	159
472	2691	153
473	2694	147
474	2698	142
475	2701	136
476	2705	130
477	2708	124
478	2711	118
479	2715	113
480	2718	107
481	2722	101
482	2726	95
483	2729	90
484	2732	84
485	2737	78
486	2742	73
487	2746	67
488	2749	61
489	2754	56
490	2758	50
491	2761	44
492	2765	39
493	2769	33
494	2773	28
495	2777	22
496	2780	16
497	2784	11
498	2789	5
499	2793	0
