iter	Logloss
181	0.3459748718
182	0.3458354811
183	0.3457355194
184	0.3455130145
185	0.3454204421
186	0.3451718383
187	0.3449300623
188	0.3448935003
189	0.3445846299
190	0.344452924
191	0.3442123893
192	0.3440485255
193	0.3437584533
194	0.3434414843
195	0.3431989102
196	0.3429216657
197	0.3426370912
198	0.342302122
199	0.3420101581
200	0.3417679978
201	0.3416328338
202	0.3414729897
203	0.3412233514
204	0.3409684816
205	0.3407575926
206	0.340610192
207	0.3405049396
208	0.3403721696
209	0.3401012504
210	0.33985309
211	0.339718724
212	0.3395513724
213	0.3391436635
214	0.3389801247
215	0.3386541999
216	0.338340364
217	0.3381856036
218	0.3380511194
219	0.3378877875
220	0.3377494904
221	0.3375825822
222	0.3372697512
223	0.3370859363
224	0.3368653526
225	0.3366278919
226	0.3364333774
227	0.3363710417
228	0.336139315
229	0.335954377
230	0.3358403167
231	0.3356312306
232	0.3353669912
233	0.3350005734
234	0.3347660092
235	0.3346282737
236	0.3344172369
237	0.3342871567
238	0.3341888502
239	0.3341148986
240	0.3338332797
241	0.3335359366
242	0.333355107
243	0.3331923071
244	0.3329276244
245	0.3327997905
246	0.3326005765
247	0.332414604
248	0.3323120413
249	0.3320664228
250	0.3318957017
251	0.3318024494
252	0.3315531363
253	0.3314042283
254	0.3312335072
255	0.3310026672
256	0.3308500646
257	0.3307053832
258	0.3305478445
259	0.3304007394
260	0.3302115156
261	0.3300764994
262	0.3299707741
263	0.3297723285
264	0.3296470069
265	0.329556267
266	0.3293808168
267	0.3292423424
268	0.3290869909
269	0.328834663
270	0.3285780198
271	0.3284183825
272	0.3281267734
273	0.3279825058
274	0.3278510659
275	0.3275850827
276	0.3274552389
277	0.3272272955
278	0.3270422984
279	0.3269381101
280	0.3267622756
281	0.3265952491
282	0.326465228
283	0.3262972853
284	0.3260978052
285	0.3259368379
286	0.3257779101
287	0.3255232176
288	0.325303491
289	0.3250793605
290	0.3249633493
291	0.3248027367
292	0.3246802526
293	0.3244124073
294	0.324199538
295	0.3240168167
296	0.3238455932
297	0.3235692946
298	0.3234151549
299	0.3232075467
300	0.3230918016
301	0.3230039878
302	0.3228633853
303	0.3227215414
304	0.3224588685
305	0.3222181565
306	0.3219698779
307	0.3217570086
308	0.3216786826
309	0.3213866005
310	0.3212099089
311	0.3211025284
312	0.3208985557
313	0.3207372338
314	0.320591311
315	0.3203681558
316	0.3201552864
317	0.3199714716
318	0.3197619126
319	0.3195530335
320	0.3193850612
321	0.319244104
322	0.3191556399
323	0.3189006224
324	0.3187021768
325	0.3185885894
326	0.3183962325
327	0.3181818262
328	0.3180006715
329	0.3178716849
330	0.3177124023
331	0.3176198595
332	0.3173521915
333	0.3171944163
334	0.3170124636
335	0.3168063332
336	0.3166630115
337	0.3164350385
338	0.3162306816
339	0.3160117826
340	0.3157978492
341	0.3156687739
342	0.3155104963
343	0.3153026812
344	0.3151827685
345	0.3150423433
346	0.3149087753
347	0.3147611974
348	0.3145206627
349	0.314292069
350	0.3141098503
351	0.3140135832
352	0.3137866743
353	0.3136457171
354	0.313544248
355	0.3134315177
356	0.313219535
357	0.3129794142
358	0.3128506049
359	0.3127268202
360	0.3125597642
361	0.3123908756
362	0.3121896517
363	0.3120407141
364	0.3118745744
365	0.3117424547
366	0.3114782744
367	0.3113706575
368	0.31128042
369	0.3111074526
370	0.3109370271
371	0.3107836855
372	0.3106387381
373	0.3104770023
374	0.3103473063
375	0.3101985165
376	0.3100411551
377	0.3099195873
378	0.3096514168
379	0.3095318884
380	0.3093263492
381	0.3091439827
382	0.3088971819
383	0.3087992597
384	0.3085640748
385	0.3084125953
386	0.3082873919
387	0.3080666604
388	0.3078077118
389	0.307722765
390	0.3075701919
391	0.3073592733
392	0.3072326512
393	0.3071245318
394	0.3069306381
395	0.30674437
396	0.3065504467
397	0.3063390256
398	0.3062197337
399	0.3060757321
400	0.305878587
401	0.3057522605
402	0.3055093022
403	0.3054114095
404	0.3053317534
405	0.3050944996
406	0.3049906955
407	0.3048484377
408	0.3047265152
409	0.3046186914
410	0.3044582561
411	0.3043391415
412	0.304181189
413	0.3040713553
414	0.3038989199
415	0.3036222075
416	0.3034951125
417	0.3033618696
418	0.3031663207
419	0.3029752348
420	0.3027925136
421	0.3026396153
422	0.3025083824
423	0.3023887357
424	0.3022278275
425	0.3021179938
426	0.3019428983
427	0.3017473198
428	0.3016437226
429	0.3015214158
430	0.3013256304
431	0.3011550571
432	0.300982799
433	0.3008213884
434	0.300679574
435	0.3004171081
436	0.3002262882
437	0.3000332812
438	0.2998845505
439	0.2997813966
440	0.2996387546
441	0.2995290983
442	0.2994114024
443	0.2992837458
444	0.2991875378
445	0.299076374
446	0.2989045889
447	0.2987304687
448	0.2986338174
449	0.2984276871
450	0.2983229372
451	0.2981993299
452	0.2980000272
453	0.2978200843
454	0.2977093934
455	0.2975596282
456	0.2973959122
457	0.2972869947
458	0.2971829246
459	0.2971191406
460	0.2970589922
461	0.2969457003
462	0.2967922996
463	0.2966473817
464	0.2965295381
465	0.2963980391
466	0.2962787767
467	0.2961319967
468	0.2960424982
469	0.2958499641
470	0.2956934008
471	0.2956048776
472	0.2954512404
473	0.2952837411
474	0.2951488135
475	0.2949559838
476	0.2948846037
477	0.2947529864
478	0.2946431527
479	0.2945605114
480	0.2943887263
481	0.2941876206
482	0.294047757
483	0.2939441302
484	0.2938019612
485	0.293664137
486	0.2936055551
487	0.2933837299
488	0.2932441028
489	0.2931029978
490	0.292945666
491	0.2927709547
492	0.2925628736
493	0.2924346259
494	0.2922995801
495	0.2922205743
496	0.2920235179
497	0.2919357928
498	0.2918545702
499	0.291733564
