iter	Logloss
0	0.6765869141
1	0.6585302616
2	0.6444131403
3	0.6279703579
4	0.6139965288
5	0.6001886917
6	0.5869898466
7	0.5745456502
8	0.5650295452
9	0.5563253112
10	0.547474179
11	0.5395741904
12	0.532106975
13	0.5244125847
14	0.5179237052
15	0.5097260187
16	0.5036742868
17	0.4972763837
18	0.4911230055
19	0.4863519479
20	0.4822018233
21	0.4776279699
22	0.4731387381
23	0.4693849725
24	0.4656413746
25	0.4617986721
26	0.4586584798
27	0.4553457043
28	0.4519033511
29	0.4491700697
30	0.4468330291
31	0.4440793829
32	0.4417551997
33	0.4396531962
34	0.4366429068
35	0.4342228111
36	0.4327055333
37	0.4307373342
38	0.4285097432
39	0.4265636232
40	0.4244834623
41	0.4225374901
42	0.4205840695
43	0.4183312663
44	0.4171254895
45	0.4156890204
46	0.4139226068
47	0.4123523925
48	0.4109545839
49	0.4095744505
50	0.4084247137
51	0.4072996273
52	0.406168275
53	0.4053473891
54	0.4043450824
55	0.403214203
56	0.4024428545
57	0.401393375
58	0.4005630013
59	0.3995774535
60	0.3988319674
61	0.398083703
62	0.3969909225
63	0.39599234
64	0.394057363
65	0.3931629984
66	0.3925037596
67	0.3916030995
68	0.3910892514
69	0.3902263946
70	0.3896279841
71	0.3891599198
72	0.3886103374
73	0.3879555912
74	0.3874705613
75	0.3868483278
76	0.3862275426
77	0.3856399795
78	0.3842268309
79	0.3835089806
80	0.3822147988
81	0.3817136898
82	0.3811601468
83	0.3798755415
84	0.379315023
85	0.3787433615
86	0.3781303203
87	0.3776351227
88	0.3770714416
89	0.3766126286
90	0.3761282489
91	0.3758407778
92	0.3755270896
93	0.3749855762
94	0.3743380124
95	0.3739765306
96	0.3736038467
97	0.373227941
98	0.3728382323
99	0.3723443057
100	0.3717038355
101	0.3712698505
102	0.3707274208
103	0.3703125591
104	0.3699391954
105	0.369636059
106	0.3691436989
107	0.3689013908
108	0.3685820868
109	0.3682663888
110	0.3673648714
111	0.3668895657
112	0.3665253942
113	0.3660974683
114	0.3653025925
115	0.3650510626
116	0.3647756507
117	0.3643523948
118	0.3639326562
119	0.3636416678
120	0.363369182
121	0.3630336808
122	0.3627788996
123	0.3624274672
124	0.3621114144
125	0.3617268486
126	0.361395308
127	0.3609118445
128	0.3607003939
129	0.3604533567
130	0.3601595604
131	0.3598975378
132	0.359630727
133	0.3593009302
134	0.3589794685
135	0.358676214
136	0.358385728
137	0.3580650939
138	0.3577260163
139	0.3574678065
140	0.3572772823
141	0.3569840475
142	0.3566289796
143	0.3564086323
144	0.3560820277
145	0.3556089979
146	0.3552293385
147	0.3551101352
148	0.3547877573
149	0.3546415685
150	0.3543309838
151	0.354080577
152	0.3538268895
153	0.3536218528
154	0.353231878
155	0.3529633233
156	0.3525027074
157	0.3522949219
158	0.3520493034
159	0.3517725614
160	0.3514435036
161	0.3511828406
162	0.351083145
163	0.3507592596
164	0.3505556416
165	0.3504213643
166	0.3502316085
167	0.3497731206
168	0.3495227139
169	0.349418969
170	0.3490724725
171	0.3488341546
172	0.3486470294
173	0.3484373818
174	0.3478807352
175	0.347614752
176	0.3472298019
177	0.3470523419
178	0.3467452449
179	0.3464920598
180	0.3462118006
